VER : 2,,././simple_cap_withGP_702um_verticalslice.csv
emvu,16.56, Exported Data from:,simple_cap_withGP
Frequency:,4.9e+08
Drive:,Port 1,V,1,P,0,Port 2,V,-1,P,0,
theLevel:,0,0
Export Positions in:,UM,1e-06
Export Steps:,1,UM, by,1,UM,Area,1,MKS Area,1e-12,m^2
JXY Magnitude,Complex Form,Amps/Meter
X Directed
Y Position
X Position ->,702.000000
668.500000, -2.7299e-3 +0.00697464j
667.500000, 0.00452854 +0.01257538j
666.500000, -3.4152e-3 +0.01176373j
665.500000, 3.59065e-4 +0.01574914j
664.500000, 3.59065e-4 +0.01574914j
663.500000, 0.00306515 +0.00811678j
662.500000, 0.00306515 +0.00811678j
661.500000, -0.0265128 -0.01789565j
660.500000, -4.7561e-3 -0.00511669j
659.500000, -2.3582e-3 -0.00422971j
658.500000, -2.3582e-3 -0.00422971j
657.500000, -3.6686e-3 +6.06819e-4j
656.500000, -3.6686e-3 +6.06819e-4j
655.500000, 0.00729571 -0.01193777j
654.500000, 0.02733849 -0.00755406j
653.500000, 0.01077695 +0.01437305j
652.500000, 0.01077695 +0.01437305j
651.500000, 0.00764507 +0.00632123j
650.500000, 0.00764507 +0.00632123j
649.500000, -0.0733682 -0.05341926j
648.500000, 0.00642385 -0.00105945j
647.500000, 0.00461897 +0.00399206j
646.500000, 0.00461897 +0.00399206j
645.500000, -1.7042e-4 +0.00550122j
644.500000, 0.36565928 +0.42510752j
643.500000, 0.33069692 +0.37332157j
642.500000, 0.26933195 +0.30303811j
641.500000, 0.08269309 +0.11943441j
640.500000, 0.06074005 +0.08659965j
639.500000, 0.03381723 +0.06005414j
638.500000, 0.03381723 +0.06005414j
637.500000, -0.0576937 -0.04839477j
636.500000, -0.0576937 -0.04839477j
635.500000, -0.2459194 -0.30508968j
634.500000, -0.2459194 -0.30508968j
633.500000, -0.0452507 -0.10019441j
632.500000, -0.0204920 -0.02953847j
631.500000, -9.7849e-3 -0.01805349j
630.500000, -9.7849e-3 -0.01805349j
629.500000, 0.00427413 -0.00745454j
628.500000, 0.00427413 -0.00745454j
627.500000, -0.0312345 -0.06185222j
626.500000, -0.0331777 -0.06125573j
625.500000, 0.02185362 +0.02298554j
624.500000, 0.02185362 +0.02298554j
623.500000, 0.01450771 +0.01796748j
622.500000, 0.01450771 +0.01796748j
621.500000, -7.7838e-3 +0.00911750j
620.500000, -0.0124856 -0.00408439j
619.500000, -0.0172854 -0.01244247j
618.500000, -0.0172854 -0.01244247j
617.500000, -0.0236908 -0.02299530j
616.500000, -0.0236908 -0.02299530j
615.500000, -0.0652544 -0.06629477j
614.500000, -0.0699739 -0.06413271j
613.500000, 0.01090114 +0.01094207j
612.500000, 0.01090114 +0.01094207j
611.500000, 0.01057924 -0.02451752j
610.500000, -9.3094e-3 -0.01781650j
609.500000, 0.00867205 +0.00466123j
608.500000, 0.00867205 +0.00466123j
607.500000, -0.0542674 -0.07972381j
606.500000, 0.05867971 +0.09572942j
605.500000, 0.02413678 +0.01673454j
604.500000, 0.02413678 +0.01673454j
603.500000, 0.01356591 +0.00857771j
602.500000, 0.01356591 +0.00857771j
601.500000, -2.8755e-3 -0.00655092j
600.500000, -2.8755e-3 -0.00655092j
599.500000, -0.0173601 -0.01568519j
598.500000, -0.0173601 -0.01568519j
597.500000, -0.0235202 -0.02177477j
596.500000, -0.0235202 -0.02177477j
595.500000, -0.0138556 -0.01490689j
594.500000, -0.0138556 -0.01490689j
593.500000, 0.14653357 +0.19276421j
592.500000, -3.2725e-4 +0.00746797j
591.500000, 0.00920847 +0.02102344j
590.500000, 0.00920847 +0.02102344j
589.500000, -0.0352529 -0.01623916j
588.500000, 0.03078891 +0.05499870j
587.500000, 0.02711740 +0.04961347j
586.500000, 0.02711740 +0.04961347j
585.500000, 0.00823626 +0.00901304j
584.500000, 0.00823626 +0.00901304j
583.500000, -0.0128866 -0.02646584j
582.500000, -0.0128866 -0.02646584j
581.500000, -0.1169138 -0.12149823j
580.500000, -0.0140563 -0.02137800j
579.500000, -0.0119804 -0.01611887j
578.500000, -0.0119804 -0.01611887j
577.500000, -8.5020e-4 +0.00322085j
